mu sigma
2.655792352608467 4.117976944688597
2.637094574600917 4.537794659452853
3.214565580457786 4.085835283830726
2.950137583226022 4.0283075507608
2.6364520432085183 4.136411424747355
3.3649796190723373 4.447226557471608
3.373644913666527 4.243662828833676
3.1681398240361265 4.066290639274183
3.2030542722098816 4.587193871448504
2.786901583347438 4.057283355311799
3.314768797837433 -4.509622169651431
3.3318095940969505 4.183144635758756
3.057261058262522 4.6278844419245555
2.7998066960708177 4.055093877951234
3.2181918774280787 4.093179163725121
2.778316224321494 4.604392643828084
2.7723613109030434 4.602074855381061
2.9525476221768434 4.033299717873878
3.263232728798717 4.12342643133063
2.5768882429432263 4.214384100317543
2.709013833374153 4.572065779427321
2.564518407542272 4.239397878485447
2.6090325776261296 4.173709866487631
2.9083682330994662 4.03750625739747
2.7457534189858337 4.5870308738166825
2.879475177724146 4.042364491162041
3.31223740625937 4.497582219367411
3.220090720397798 4.566984353054847
2.5767673216129605 4.446130023930349
2.547151935006983 4.351749300778003
2.6342419383392297 4.513802743138757
2.729990754524197 4.090109380717783
3.377449997371082 4.346670763420411
3.3440323529989877 4.4504404105315665
3.003872365094734 4.62361918010272
2.652429545934483 4.141240864718261
3.081128269654944 4.612511669116646
2.5952760143899614 4.20316984865759
2.659279290400881 4.530607633192529
2.807868883310426 4.062498678593168
3.3710789306137943 4.376032128255764
2.6045782687457684 4.476085675360069
3.240575419919322 4.1190285631343
3.264727546408437 4.136988188377936
3.2225615576733104 4.557713791352343
3.0031427050328703 4.043300311116731
2.8362961702553386 4.607528743889608
2.6470497538191067 4.150286549004317
2.6123390575903875 4.480026004054561
2.6434304484648936 4.509790830073565
2.6110361591550464 4.19282042687168
3.284851178122149 4.507264481908272
3.1694272164850066 4.577868893646113
2.811901156150851 4.067200606531134
2.9560531333991875 4.61639819683553
2.5631961129167857 4.363526421501169
3.139321687639908 4.58757731880852
2.585537892893109 4.4309045229524875
2.7390072644519026 4.0973415284940335
3.090518266280651 4.599123623480338
3.351766297686838 4.268919681565155
3.1470968749910195 4.081224091514085
2.800909277695162 4.589000506321041
3.1981338808826356 4.104350692259683
2.6854910589607486 4.533489911233905
2.9100168262386674 4.609449715819922
2.975811087474512 4.051440039716675
3.2163452947155613 4.118133412177676
3.3561003644754357 4.331717163962763
2.838235302542677 4.0676203014332355
2.7694276341582236 4.572054427649948
3.0053274095250706 4.0548424745617355
2.57295254936205 4.312379591665631
2.7560319534318287 4.096492108238206
3.067903676358399 4.063903754109048
2.5984299671440407 4.23522269165306
2.6149344170300446 4.456157258800177
2.6555864538237794 4.162974569925527
3.3397562942389474 4.403270560438245
2.575456575044517 4.353049904252382
3.3290383950810774 4.240320088504942
2.5781067498801593 4.301067791857647
2.595254547704079 4.418338654994305
3.020573359054134 4.059777365368357
2.6042602979589393 4.232730511928796
2.6152862034650215 4.215724168055257
2.6617633803454 4.1625717159181885
2.608232129977114 -4.227859846885915
2.7039904527503476 4.531592659046794
2.9966515292716465 4.059576470096807
2.5975231117330546 4.2519171343035
3.1071197924140725 4.079534136861009
3.34442751036952 4.351457015825156
2.7232602841288815 4.540359684445758
2.9867374803193236 4.598911524561206
2.682435148403716 -4.149243005845847
2.612718484912183 4.227095684137671
2.8426060076413724 4.074961377499502
2.6071079858841606 4.424490061790819
3.333354637031457 4.390686946080068
3.20283084894192 4.123265685581805
2.6284394498420496 4.209187352014926
2.7635892977642014 4.104270481526932
2.9544106934216647 4.063242970432954
2.8362556065812137 4.079169583587748
2.814670653666056 4.573597018299456
2.587974642660766 4.334783280842129
3.2861070058282182 4.4669553597566285
2.64308841287492 4.192797259686506
3.3263732076475914 4.399153660493442
3.3189967766604394 4.2471943525232865
3.2374244446820803 4.511193541304268
3.3374249371299873 4.340261410235745
3.332877622540587 4.37227413252284
2.7831617861899156 4.0982478992581495
3.114624194700727 4.570414465572962
3.2997044178187123 4.443364763794538
3.1955911469424145 4.125068118903432
3.055916870432038 4.583134011987119
3.2904611357508475 4.208616897395579
2.989853994550405 4.068937888148412
2.830376453142665 4.086812387967711
3.226221246390435 4.510465402606385
3.170445959885303 4.542678364621422
